adc;energy_eV;energy_MeV;fit_a_eV_per_ADC;fit_b_eV
2804.623599;940682.250441;0.940682250;301.805063948065;94232.645876
2817.195675;944476.566760;0.944476567;301.805063948065;94232.645876
2829.767752;948270.883078;0.948270883;301.805063948065;94232.645876
2842.339828;952065.199397;0.952065199;301.805063948065;94232.645876
2854.911904;955859.515715;0.955859516;301.805063948065;94232.645876
2867.483981;959653.832033;0.959653832;301.805063948065;94232.645876
2880.056057;963448.148352;0.963448148;301.805063948065;94232.645876
2892.628133;967242.464670;0.967242465;301.805063948065;94232.645876
2905.200210;971036.780989;0.971036781;301.805063948065;94232.645876
2917.772286;974831.097307;0.974831097;301.805063948065;94232.645876
2930.344363;978625.413625;0.978625414;301.805063948065;94232.645876
2942.916439;982419.729944;0.982419730;301.805063948065;94232.645876
2955.488515;986214.046262;0.986214046;301.805063948065;94232.645876
2968.060592;990008.362581;0.990008363;301.805063948065;94232.645876
2980.632668;993802.678899;0.993802679;301.805063948065;94232.645876
2993.204745;997596.995217;0.997596995;301.805063948065;94232.645876
3005.776821;1001391.311536;1.001391312;301.805063948065;94232.645876
3018.348897;1005185.627854;1.005185628;301.805063948065;94232.645876
3030.920974;1008979.944173;1.008979944;301.805063948065;94232.645876
3043.493050;1012774.260491;1.012774260;301.805063948065;94232.645876
3056.065127;1016568.576809;1.016568577;301.805063948065;94232.645876
3068.637203;1020362.893128;1.020362893;301.805063948065;94232.645876
3081.209279;1024157.209446;1.024157209;301.805063948065;94232.645876
3093.781356;1027951.525764;1.027951526;301.805063948065;94232.645876
3106.353432;1031745.842083;1.031745842;301.805063948065;94232.645876
3118.925508;1035540.158401;1.035540158;301.805063948065;94232.645876
3131.497585;1039334.474720;1.039334475;301.805063948065;94232.645876
3144.069661;1043128.791038;1.043128791;301.805063948065;94232.645876
3156.641738;1046923.107356;1.046923107;301.805063948065;94232.645876
3169.213814;1050717.423675;1.050717424;301.805063948065;94232.645876
3181.785890;1054511.739993;1.054511740;301.805063948065;94232.645876
3194.357967;1058306.056312;1.058306056;301.805063948065;94232.645876
3206.930043;1062100.372630;1.062100373;301.805063948065;94232.645876
3219.502120;1065894.688948;1.065894689;301.805063948065;94232.645876
3232.074196;1069689.005267;1.069689005;301.805063948065;94232.645876
3244.646272;1073483.321585;1.073483322;301.805063948065;94232.645876
3257.218349;1077277.637904;1.077277638;301.805063948065;94232.645876
3269.790425;1081071.954222;1.081071954;301.805063948065;94232.645876
3282.362501;1084866.270540;1.084866271;301.805063948065;94232.645876
3294.934578;1088660.586859;1.088660587;301.805063948065;94232.645876
3307.506654;1092454.903177;1.092454903;301.805063948065;94232.645876
3320.078731;1096249.219496;1.096249219;301.805063948065;94232.645876
3332.650807;1100043.535814;1.100043536;301.805063948065;94232.645876
3345.222883;1103837.852132;1.103837852;301.805063948065;94232.645876
3357.794960;1107632.168451;1.107632168;301.805063948065;94232.645876
3370.367036;1111426.484769;1.111426485;301.805063948065;94232.645876
3382.939113;1115220.801088;1.115220801;301.805063948065;94232.645876
3395.511189;1119015.117406;1.119015117;301.805063948065;94232.645876
3408.083265;1122809.433724;1.122809434;301.805063948065;94232.645876
3420.655342;1126603.750043;1.126603750;301.805063948065;94232.645876
3433.227418;1130398.066361;1.130398066;301.805063948065;94232.645876
3445.799495;1134192.382680;1.134192383;301.805063948065;94232.645876
3458.371571;1137986.698998;1.137986699;301.805063948065;94232.645876
3470.943647;1141781.015316;1.141781015;301.805063948065;94232.645876
3483.515724;1145575.331635;1.145575332;301.805063948065;94232.645876
3496.087800;1149369.647953;1.149369648;301.805063948065;94232.645876
3508.659876;1153163.964271;1.153163964;301.805063948065;94232.645876
3521.231953;1156958.280590;1.156958281;301.805063948065;94232.645876
